capture,direction,lane_index,frame_index,subevent_index,subevent_offset,opcode,slot,actor_id,actor_high_nibble,record_stride,field_at_record_plus_8,event_role_match,matching_event_names
gridania_to_coerthas.pcapng,s2c,0,680,9,1016,0x0183,0,1152386805,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,687,9,1016,0x0183,0,1152385152,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,690,9,1016,0x0183,0,1152388280,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,694,9,1016,0x0183,0,1152386803,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,701,9,1016,0x0183,0,1152385120,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,710,6,736,0x0183,0,1152388279,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,738,9,1016,0x0183,0,1152385126,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,738,27,2936,0x0183,0,1152388278,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,769,6,736,0x0183,0,1152385127,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,772,9,1016,0x0183,0,1152385089,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,846,16,1496,0x017F,0,43723073,0,48,303,no,
gridania_to_coerthas.pcapng,s2c,0,846,16,1496,0x017F,1,3768972602,14,48,4294967295,no,
gridania_to_coerthas.pcapng,s2c,0,846,20,2208,0x017F,0,43723073,0,48,303,no,
gridania_to_coerthas.pcapng,s2c,0,884,9,1016,0x0183,0,1153446875,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,892,9,1016,0x0183,0,1153433787,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,897,9,1016,0x0183,0,1153443754,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,898,6,736,0x0183,0,1153443751,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,904,9,1016,0x0183,0,1153433744,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,906,9,1016,0x0183,0,1153433728,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,906,27,2936,0x0183,0,1153433736,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,907,7,904,0x0183,0,1153446313,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,911,27,2832,0x0183,0,1153433691,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,912,6,736,0x0183,0,1153446312,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,916,9,1016,0x0183,0,1153443753,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,922,6,736,0x0183,0,1153443755,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,922,24,2656,0x0183,0,1153433752,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,923,4,584,0x0183,0,1153433775,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,940,20,2232,0x0183,0,1153433813,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,946,9,1016,0x0183,0,1153433807,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,951,9,1016,0x0183,0,1153433804,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,964,9,1016,0x0183,0,1153443367,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,995,9,1016,0x0183,0,1153433807,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,995,27,2936,0x0183,0,1153433804,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1000,9,1016,0x0183,0,1153433737,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1000,27,2936,0x0183,0,1153433813,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1008,9,1016,0x0183,0,1153440705,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1015,9,1016,0x0183,0,1153433729,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1015,27,2936,0x0183,0,1153433692,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1016,7,904,0x0183,0,1153440611,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1016,25,2824,0x0183,0,1153447107,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1017,6,736,0x0183,0,1153433712,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1017,24,2656,0x0183,0,1153447108,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1018,4,584,0x0183,0,1153433673,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1022,9,1016,0x0183,0,1153447109,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1029,9,1016,0x0183,0,1153446964,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1029,27,2936,0x0183,0,1153433819,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1030,7,904,0x0183,0,1153440710,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1035,9,1016,0x0183,0,1153433718,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1040,9,1016,0x0183,0,1153447110,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1045,9,1016,0x0183,0,1153447156,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1052,9,1016,0x0183,0,1153447154,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1052,27,2936,0x0183,0,1153447153,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1057,9,1016,0x0183,0,1153441158,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1057,27,2936,0x0183,0,1153447159,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1058,7,904,0x0183,0,1153447157,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1064,9,1016,0x0183,0,1153447155,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1064,27,2936,0x0183,0,1153447160,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1065,7,904,0x0183,0,1153447158,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1091,9,1016,0x0183,0,1153433701,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1095,9,1016,0x0183,0,1153433670,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1095,27,2936,0x0183,0,1153447112,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1098,9,1016,0x0183,0,1153433811,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1098,27,2936,0x0183,0,1153433668,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1099,7,904,0x0183,0,1153433803,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1099,25,2824,0x0183,0,1153433689,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1100,6,736,0x0183,0,1153433731,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1100,24,2656,0x0183,0,1153433817,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1106,9,1016,0x0183,0,1153433739,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1106,27,2936,0x0183,0,1153433694,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1112,9,1016,0x0183,0,1153433747,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1112,27,2936,0x0183,0,1153447114,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1115,27,2832,0x0183,0,1153433763,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1116,23,2576,0x0183,0,1153433771,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1121,9,1016,0x0183,0,1153433790,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1121,27,2936,0x0183,0,1153433755,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1127,9,1016,0x0183,0,1153433714,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1127,27,2936,0x0183,0,1153433784,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1128,7,904,0x0183,0,1153433669,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1133,9,1016,0x0183,0,1153433675,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1137,9,1016,0x0183,0,1153433777,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1139,9,1016,0x0183,0,1153441210,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1142,9,1016,0x0183,0,1153447115,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1152,9,1016,0x0183,0,1153433687,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1166,9,1016,0x0183,0,1153440581,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1170,24,2328,0x0183,0,1153436990,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1180,9,1016,0x0183,0,1153441103,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1180,27,2936,0x0183,0,1153433750,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1185,6,736,0x0183,0,1153440581,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1185,24,2656,0x0183,0,1153433665,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1202,6,736,0x0183,0,1153433688,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1202,24,2656,0x0183,0,1153433666,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1203,4,584,0x0183,0,1153433758,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1209,2,216,0x0183,0,1153433717,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1213,9,1016,0x0183,0,1153433791,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1213,27,2936,0x0183,0,1153434834,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1241,6,736,0x0183,0,1153433758,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1247,6,736,0x0183,0,1153433688,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1247,24,2656,0x0183,0,1153433750,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1251,9,1016,0x0183,0,1153433785,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1251,27,2936,0x0183,0,1153433666,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1252,7,904,0x0183,0,1153433717,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1252,25,2824,0x0183,0,1153433773,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1255,9,1016,0x0183,0,1153433742,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1255,27,2936,0x0183,0,1153433678,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1256,7,904,0x0183,0,1153433697,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1256,25,2824,0x0183,0,1153433766,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1257,6,736,0x0183,0,1153441103,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1263,9,1016,0x0183,0,1153433734,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1263,27,2936,0x0183,0,1153433779,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1268,9,1016,0x0183,0,1153441103,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1320,16,1496,0x017F,0,43723073,0,48,203,no,
gridania_to_coerthas.pcapng,s2c,0,1320,16,1496,0x017F,1,3768972602,14,48,4294967295,no,
gridania_to_coerthas.pcapng,s2c,0,1320,20,2208,0x017F,0,43723073,0,48,203,no,
gridania_to_coerthas.pcapng,s2c,0,1330,30,2896,0x0183,0,1149763820,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1331,7,904,0x0183,0,1149763675,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,1331,25,2824,0x0183,0,1149763728,4,12,1,no,
invite_join_party.pcapng,s2c,0,17,2,216,0x017F,0,43723073,0,48,331,no,
invite_join_party.pcapng,s2c,0,20,2,216,0x017F,0,43723073,0,48,331,no,
invite_join_party.pcapng,s2c,0,20,2,216,0x017F,1,43722707,0,48,5022,no,
invite_join_party.pcapng,s2c,0,92,3,280,0x017F,0,43723073,0,48,331,no,
invite_join_party.pcapng,s2c,0,92,3,280,0x017F,1,43722707,0,48,5022,no,
local_leve_complete.pcapng,s2c,0,52,9,1016,0x0183,0,1152388420,4,12,1,no,
local_leve_complete.pcapng,s2c,0,292,21,1944,0x0183,0,1152388203,4,12,1,no,
move_out_of_room.pcapng,s2c,0,32,17,1560,0x017F,0,43723073,0,48,331,no,
move_out_of_room.pcapng,s2c,0,32,17,1560,0x017F,1,3768972602,14,48,4294967295,no,
move_out_of_room.pcapng,s2c,0,32,21,2272,0x017F,0,43723073,0,48,331,no,
moving_around_gridania.pcapng,s2c,0,203,17,1544,0x017F,0,43723073,0,48,321,no,
moving_around_gridania.pcapng,s2c,0,203,17,1544,0x017F,1,3768972602,14,48,4294967295,no,
moving_around_gridania.pcapng,s2c,0,203,21,2256,0x017F,0,43723073,0,48,321,no,
moving_around_gridania.pcapng,s2c,0,1251,16,1496,0x017F,0,43723073,0,48,321,no,
moving_around_gridania.pcapng,s2c,0,1251,16,1496,0x017F,1,3768972602,14,48,4294967295,no,
moving_around_gridania.pcapng,s2c,0,1251,20,2208,0x017F,0,43723073,0,48,321,no,
party_battle_leve.pcapng,s2c,0,50,10,864,0x0183,0,1158679876,4,12,1,no,
party_battle_leve.pcapng,s2c,0,50,10,864,0x0183,1,43723073,0,12,1,no,
party_battle_leve.pcapng,s2c,0,50,10,864,0x0183,2,43722707,0,12,1,no,
party_battle_leve.pcapng,s2c,0,74,9,1016,0x0183,0,1158678207,4,12,1,no,
party_battle_leve.pcapng,s2c,0,78,2,216,0x0183,0,1158679876,4,12,1,no,
party_battle_leve.pcapng,s2c,0,78,2,216,0x0183,1,43723073,0,12,1,no,
party_battle_leve.pcapng,s2c,0,78,2,216,0x0183,2,43722707,0,12,1,no,
party_battle_leve.pcapng,s2c,0,78,2,216,0x0183,3,1158679877,4,12,1,no,
party_battle_leve.pcapng,s2c,0,79,3,280,0x0183,0,1158679876,4,12,1,no,
party_battle_leve.pcapng,s2c,0,79,3,280,0x0183,1,43723073,0,12,1,no,
party_battle_leve.pcapng,s2c,0,79,3,280,0x0183,2,43722707,0,12,1,no,
party_battle_leve.pcapng,s2c,0,79,3,280,0x0183,3,1158679877,4,12,1,no,
party_battle_leve.pcapng,s2c,0,80,2,216,0x0183,0,1158679876,4,12,1,no,
party_battle_leve.pcapng,s2c,0,80,2,216,0x0183,1,43723073,0,12,1,no,
party_battle_leve.pcapng,s2c,0,80,2,216,0x0183,2,43722707,0,12,1,no,
party_battle_leve.pcapng,s2c,0,80,2,216,0x0183,3,1158679877,4,12,1,no,
party_battle_leve.pcapng,s2c,0,80,2,216,0x0183,4,1158679878,4,12,1,no,
party_battle_leve.pcapng,s2c,0,84,2,216,0x0183,0,1158679876,4,12,1,no,
party_battle_leve.pcapng,s2c,0,84,2,216,0x0183,1,43723073,0,12,1,no,
party_battle_leve.pcapng,s2c,0,84,2,216,0x0183,2,43722707,0,12,1,no,
party_battle_leve.pcapng,s2c,0,84,2,216,0x0183,3,1158679877,4,12,1,no,
party_battle_leve.pcapng,s2c,0,84,2,216,0x0183,4,1158679878,4,12,1,no,
party_battle_leve.pcapng,s2c,0,85,2,216,0x0183,0,1158679876,4,12,1,no,
party_battle_leve.pcapng,s2c,0,85,2,216,0x0183,1,43723073,0,12,1,no,
party_battle_leve.pcapng,s2c,0,85,2,216,0x0183,2,43722707,0,12,1,no,
party_battle_leve.pcapng,s2c,0,85,2,216,0x0183,3,1158679877,4,12,1,no,
party_battle_leve.pcapng,s2c,0,85,2,216,0x0183,4,1158679878,4,12,1,no,
party_battle_leve.pcapng,s2c,0,85,2,216,0x0183,5,1158679879,4,12,1,no,
party_battle_leve.pcapng,s2c,0,86,2,216,0x0183,0,1158679876,4,12,1,no,
party_battle_leve.pcapng,s2c,0,86,2,216,0x0183,1,43723073,0,12,1,no,
party_battle_leve.pcapng,s2c,0,86,2,216,0x0183,2,43722707,0,12,1,no,
party_battle_leve.pcapng,s2c,0,86,2,216,0x0183,3,1158679877,4,12,1,no,
party_battle_leve.pcapng,s2c,0,86,2,216,0x0183,4,1158679878,4,12,1,no,
party_battle_leve.pcapng,s2c,0,86,2,216,0x0183,5,1158679879,4,12,1,no,
party_battle_leve.pcapng,s2c,0,86,2,216,0x0183,6,1158679880,4,12,1,no,
party_battle_leve.pcapng,s2c,0,89,2,216,0x0183,0,1158679876,4,12,1,no,
party_battle_leve.pcapng,s2c,0,89,2,216,0x0183,1,43723073,0,12,1,no,
party_battle_leve.pcapng,s2c,0,89,2,216,0x0183,2,43722707,0,12,1,no,
party_battle_leve.pcapng,s2c,0,89,2,216,0x0183,3,1158679877,4,12,1,no,
party_battle_leve.pcapng,s2c,0,89,2,216,0x0183,4,1158679878,4,12,1,no,
party_battle_leve.pcapng,s2c,0,89,2,216,0x0183,5,1158679879,4,12,1,no,
party_battle_leve.pcapng,s2c,0,89,2,216,0x0183,6,1158679880,4,12,1,no,
party_battle_leve.pcapng,s2c,0,89,2,216,0x0183,7,1158679881,4,12,1,no,
party_battle_leve.pcapng,s2c,0,89,7,1336,0x0183,0,1158679876,4,12,1,no,
party_battle_leve.pcapng,s2c,0,89,7,1336,0x0183,1,43723073,0,12,1,no,
party_battle_leve.pcapng,s2c,0,89,7,1336,0x0183,2,43722707,0,12,1,no,
party_battle_leve.pcapng,s2c,0,89,7,1336,0x0183,3,1158679877,4,12,1,no,
party_battle_leve.pcapng,s2c,0,89,7,1336,0x0183,4,1158679878,4,12,1,no,
party_battle_leve.pcapng,s2c,0,89,7,1336,0x0183,5,1158679879,4,12,1,no,
party_battle_leve.pcapng,s2c,0,89,7,1336,0x0183,6,1158679880,4,12,1,no,
party_battle_leve.pcapng,s2c,0,89,7,1336,0x0183,7,1158679881,4,12,1,no,
party_battle_leve.pcapng,s2c,0,92,2,216,0x0183,0,1158679876,4,12,1,no,
party_battle_leve.pcapng,s2c,0,92,2,216,0x0183,1,43723073,0,12,1,no,
party_battle_leve.pcapng,s2c,0,92,2,216,0x0183,2,43722707,0,12,1,no,
party_battle_leve.pcapng,s2c,0,92,2,216,0x0183,3,1158679877,4,12,1,no,
party_battle_leve.pcapng,s2c,0,92,2,216,0x0183,4,1158679878,4,12,1,no,
party_battle_leve.pcapng,s2c,0,92,2,216,0x0183,5,1158679879,4,12,1,no,
party_battle_leve.pcapng,s2c,0,92,2,216,0x0183,6,1158679880,4,12,1,no,
party_battle_leve.pcapng,s2c,0,92,2,216,0x0183,7,1158679881,4,12,1,no,
party_battle_leve.pcapng,s2c,0,92,3,368,0x0183,0,1158679882,4,12,1,no,
party_battle_leve.pcapng,s2c,0,95,2,216,0x0183,0,1158679876,4,12,1,no,
party_battle_leve.pcapng,s2c,0,95,2,216,0x0183,1,43723073,0,12,1,no,
party_battle_leve.pcapng,s2c,0,95,2,216,0x0183,2,43722707,0,12,1,no,
party_battle_leve.pcapng,s2c,0,95,2,216,0x0183,3,1158679877,4,12,1,no,
